adj_symbol,adj_symbol,symbol,base_asset,quote_asset,status,contract_type
BTC-USDT,BTC-USDT,BTCUSDT,BTC,USDT,TRADING,PERPETUAL
ETH-USDT,ETH-USDT,ETHUSDT,ETH,USDT,TRADING,PERPETUAL
BCH-USDT,BCH-USDT,BCHUSDT,BCH,USDT,TRADING,PERPETUAL
XRP-USDT,XRP-USDT,XRPUSDT,XRP,USDT,TRADING,PERPETUAL
EOS-USDT,EOS-USDT,EOSUSDT,EOS,USDT,TRADING,PERPETUAL
LTC-USDT,LTC-USDT,LTCUSDT,LTC,USDT,TRADING,PERPETUAL
TRX-USDT,TRX-USDT,TRXUSDT,TRX,USDT,TRADING,PERPETUAL
ETC-USDT,ETC-USDT,ETCUSDT,ETC,USDT,TRADING,PERPETUAL
LINK-USDT,LINK-USDT,LINKUSDT,LINK,USDT,TRADING,PERPETUAL
XLM-USDT,XLM-USDT,XLMUSDT,XLM,USDT,TRADING,PERPETUAL
ADA-USDT,ADA-USDT,ADAUSDT,ADA,USDT,TRADING,PERPETUAL
XMR-USDT,XMR-USDT,XMRUSDT,XMR,USDT,TRADING,PERPETUAL
DASH-USDT,DASH-USDT,DASHUSDT,DASH,USDT,TRADING,PERPETUAL
ZEC-USDT,ZEC-USDT,ZECUSDT,ZEC,USDT,TRADING,PERPETUAL
XTZ-USDT,XTZ-USDT,XTZUSDT,XTZ,USDT,TRADING,PERPETUAL
BNB-USDT,BNB-USDT,BNBUSDT,BNB,USDT,TRADING,PERPETUAL
ATOM-USDT,ATOM-USDT,ATOMUSDT,ATOM,USDT,TRADING,PERPETUAL
ONT-USDT,ONT-USDT,ONTUSDT,ONT,USDT,TRADING,PERPETUAL
IOTA-USDT,IOTA-USDT,IOTAUSDT,IOTA,USDT,TRADING,PERPETUAL
BAT-USDT,BAT-USDT,BATUSDT,BAT,USDT,TRADING,PERPETUAL
VET-USDT,VET-USDT,VETUSDT,VET,USDT,TRADING,PERPETUAL
NEO-USDT,NEO-USDT,NEOUSDT,NEO,USDT,TRADING,PERPETUAL
QTUM-USDT,QTUM-USDT,QTUMUSDT,QTUM,USDT,TRADING,PERPETUAL
IOST-USDT,IOST-USDT,IOSTUSDT,IOST,USDT,TRADING,PERPETUAL
THETA-USDT,THETA-USDT,THETAUSDT,THETA,USDT,TRADING,PERPETUAL
ALGO-USDT,ALGO-USDT,ALGOUSDT,ALGO,USDT,TRADING,PERPETUAL
ZIL-USDT,ZIL-USDT,ZILUSDT,ZIL,USDT,TRADING,PERPETUAL
KNC-USDT,KNC-USDT,KNCUSDT,KNC,USDT,TRADING,PERPETUAL
ZRX-USDT,ZRX-USDT,ZRXUSDT,ZRX,USDT,TRADING,PERPETUAL
COMP-USDT,COMP-USDT,COMPUSDT,COMP,USDT,TRADING,PERPETUAL
OMG-USDT,OMG-USDT,OMGUSDT,OMG,USDT,TRADING,PERPETUAL
DOGE-USDT,DOGE-USDT,DOGEUSDT,DOGE,USDT,TRADING,PERPETUAL
SXP-USDT,SXP-USDT,SXPUSDT,SXP,USDT,TRADING,PERPETUAL
KAVA-USDT,KAVA-USDT,KAVAUSDT,KAVA,USDT,TRADING,PERPETUAL
BAND-USDT,BAND-USDT,BANDUSDT,BAND,USDT,TRADING,PERPETUAL
RLC-USDT,RLC-USDT,RLCUSDT,RLC,USDT,TRADING,PERPETUAL
WAVES-USDT,WAVES-USDT,WAVESUSDT,WAVES,USDT,TRADING,PERPETUAL
MKR-USDT,MKR-USDT,MKRUSDT,MKR,USDT,TRADING,PERPETUAL
SNX-USDT,SNX-USDT,SNXUSDT,SNX,USDT,TRADING,PERPETUAL
DOT-USDT,DOT-USDT,DOTUSDT,DOT,USDT,TRADING,PERPETUAL
DEFI-USDT,DEFI-USDT,DEFIUSDT,DEFI,USDT,TRADING,PERPETUAL
YFI-USDT,YFI-USDT,YFIUSDT,YFI,USDT,TRADING,PERPETUAL
BAL-USDT,BAL-USDT,BALUSDT,BAL,USDT,TRADING,PERPETUAL
CRV-USDT,CRV-USDT,CRVUSDT,CRV,USDT,TRADING,PERPETUAL
TRB-USDT,TRB-USDT,TRBUSDT,TRB,USDT,TRADING,PERPETUAL
RUNE-USDT,RUNE-USDT,RUNEUSDT,RUNE,USDT,TRADING,PERPETUAL
SUSHI-USDT,SUSHI-USDT,SUSHIUSDT,SUSHI,USDT,TRADING,PERPETUAL
SRM-USDT,SRM-USDT,SRMUSDT,SRM,USDT,TRADING,PERPETUAL
EGLD-USDT,EGLD-USDT,EGLDUSDT,EGLD,USDT,TRADING,PERPETUAL
SOL-USDT,SOL-USDT,SOLUSDT,SOL,USDT,TRADING,PERPETUAL
ICX-USDT,ICX-USDT,ICXUSDT,ICX,USDT,TRADING,PERPETUAL
STORJ-USDT,STORJ-USDT,STORJUSDT,STORJ,USDT,TRADING,PERPETUAL
BLZ-USDT,BLZ-USDT,BLZUSDT,BLZ,USDT,TRADING,PERPETUAL
UNI-USDT,UNI-USDT,UNIUSDT,UNI,USDT,TRADING,PERPETUAL
AVAX-USDT,AVAX-USDT,AVAXUSDT,AVAX,USDT,TRADING,PERPETUAL
FTM-USDT,FTM-USDT,FTMUSDT,FTM,USDT,TRADING,PERPETUAL
HNT-USDT,HNT-USDT,HNTUSDT,HNT,USDT,TRADING,PERPETUAL
ENJ-USDT,ENJ-USDT,ENJUSDT,ENJ,USDT,TRADING,PERPETUAL
FLM-USDT,FLM-USDT,FLMUSDT,FLM,USDT,TRADING,PERPETUAL
TOMO-USDT,TOMO-USDT,TOMOUSDT,TOMO,USDT,TRADING,PERPETUAL
REN-USDT,REN-USDT,RENUSDT,REN,USDT,TRADING,PERPETUAL
KSM-USDT,KSM-USDT,KSMUSDT,KSM,USDT,TRADING,PERPETUAL
NEAR-USDT,NEAR-USDT,NEARUSDT,NEAR,USDT,TRADING,PERPETUAL
AAVE-USDT,AAVE-USDT,AAVEUSDT,AAVE,USDT,TRADING,PERPETUAL
FIL-USDT,FIL-USDT,FILUSDT,FIL,USDT,TRADING,PERPETUAL
RSR-USDT,RSR-USDT,RSRUSDT,RSR,USDT,TRADING,PERPETUAL
LRC-USDT,LRC-USDT,LRCUSDT,LRC,USDT,TRADING,PERPETUAL
MATIC-USDT,MATIC-USDT,MATICUSDT,MATIC,USDT,TRADING,PERPETUAL
OCEAN-USDT,OCEAN-USDT,OCEANUSDT,OCEAN,USDT,TRADING,PERPETUAL
CVC-USDT,CVC-USDT,CVCUSDT,CVC,USDT,TRADING,PERPETUAL
BEL-USDT,BEL-USDT,BELUSDT,BEL,USDT,TRADING,PERPETUAL
CTK-USDT,CTK-USDT,CTKUSDT,CTK,USDT,TRADING,PERPETUAL
AXS-USDT,AXS-USDT,AXSUSDT,AXS,USDT,TRADING,PERPETUAL
ALPHA-USDT,ALPHA-USDT,ALPHAUSDT,ALPHA,USDT,TRADING,PERPETUAL
ZEN-USDT,ZEN-USDT,ZENUSDT,ZEN,USDT,TRADING,PERPETUAL
