,vehicle_symbol,base_quote,secondary_quote,ratio,timestamp
0,BTC,KRW,USDT,1307.739193344904,1658148667000
1,ETH,KRW,USDT,1307.7917755620213,1658148667000
2,XRP,KRW,USDT,1306.0961853995698,1658148667000
3,ADA,KRW,USDT,1305.8749495064505,1658148667000
4,SOL,KRW,USDT,1307.2241950272528,1658148667000
5,DOGE,KRW,USDT,1308.7762272895254,1658148667000
6,DOT,KRW,USDT,1307.6766583862577,1658148668000
7,MATIC,KRW,USDT,1305.3809111521757,1658148668000
8,AVAX,KRW,USDT,1305.8574855420934,1658148668000
9,TRX,KRW,USDT,1307.2644303917414,1658148668000
10,BTC,KRW,USDT,1307.7363051202883,1658148673000
11,ETH,KRW,USDT,1308.093269083996,1658148673000
12,XRP,KRW,USDT,1306.2511971422798,1658148673000
13,ADA,KRW,USDT,1305.1721160462837,1658148673000
14,SOL,KRW,USDT,1308.208509551291,1658148673000
15,DOGE,KRW,USDT,1308.8849109474952,1658148674000
16,DOT,KRW,USDT,1307.7221741460387,1658148674000
17,MATIC,KRW,USDT,1306.4880473459261,1658148674000
18,AVAX,KRW,USDT,1305.8907277136545,1658148674000
19,TRX,KRW,USDT,1306.821493898672,1658148674000
